"gene_names","sample1m","sample2m","sample3m","sample4m","sample5m","sample6m","sample7m","sample8m","sample9m","sample10m"
"A1BG","0","0","0","2","1","26","14","19","6","13"
"A1CF","27","33","45","3","0","0","0","6","4","0"
"A2M","0","0","0","0","0","80","55","198","3","9"
"A2ML1","0","0","0","0","0","0","1","0","0","0"
"A2MP1","1","0","0","0","0","0","0","0","0","0"
"A4GALT","3","7","0","0","0","6","2","0","1","4"
"A4GNT","0","3","0","196","126","6","12","16","2","8"
"AAAS","10","10","26","59","16","21","13","21","24","26"
"AACS","28","38","44","61","27","155","33","24","27","64"
"AACSP1","0","0","1","0","0","0","0","0","0","0"
"AADAC","0","9","0","46","38","5","7","1","42","67"
"AADACL2","0","0","0","0","1","0","0","0","0","0"
"AADACL2-AS1","0","0","0","0","0","0","0","0","2","0"
"AADACP1","5","3","0","2","1","6","6","3","1","0"
"AADAT","0","0","0","2","12","2","5","0","3","6"
"AAED1","1","1","2","2","0","13","13","7","4","5"
"AAGAB","33","58","59","34","26","32","27","23","33","23"
"AAK1","119","154","158","97","95","68","83","63","109","71"
"AAMDC","46","49","81","100","76","71","55","112","116","89"
"AAMP","139","141","98","89","72","79","66","65","97","79"
"AANAT","0","0","0","1","0","0","0","0","0","0"
"AAR2","12","20","11","25","11","20","22","8","24","28"
"AARD","0","0","0","0","0","1","0","0","0","0"
"AARS","33","33","26","31","40","50","31","30","84","65"
"AARS2","4","21","14","37","10","25","12","13","12","9"
"AASDH","17","8","8","33","30","20","14","38","28","21"
"AASDHPPT","35","13","20","27","17","19","21","16","26","33"
"AASS","34","75","43","35","25","26","17","11","33","16"
"AATBC","0","0","0","0","0","0","1","0","1","0"
"AATF","28","32","21","21","19","45","41","25","34","49"
"AATK","0","0","0","0","0","1","1","0","2","0"
"ABALON","11","4","6","1","8","10","11","15","3","0"
"ABAT","13","33","18","17","20","10","8","16","2","5"
"ABCA1","28","60","101","5","7","52","46","48","7","8"
"ABCA10","1","5","0","0","0","2","5","2","1","2"
"ABCA11P","1","0","3","4","2","1","1","0","6","4"
"ABCA12","0","1","7","0","0","0","0","0","0","0"
"ABCA13","1","3","11","1","6","0","1","4","0","0"
"ABCA17P","0","0","1","0","0","3","0","0","0","0"
"ABCA2","0","2","0","3","8","5","3","2","9","4"
"ABCA3","7","2","3","1","0","0","0","3","0","6"
"ABCA4","2","1","0","0","0","0","0","0","11","0"
"ABCA5","70","54","81","52","53","19","20","10","39","20"
"ABCA6","0","2","1","2","0","4","0","0","0","2"
"ABCA7","6","19","1","20","4","13","17","15","3","1"
"ABCA8","0","0","0","0","0","4","0","0","0","1"
"ABCA9","0","6","6","0","0","0","0","1","0","1"
"ABCB1","0","0","0","0","0","3","8","10","0","0"
"ABCB10","4","7","2","16","5","9","9","12","15","7"
"ABCB4","3","3","10","0","0","0","1","7","0","0"
"ABCB5","0","0","1","0","4","0","0","0","0","0"
"ABCB6","9","29","12","17","27","18","24","14","18","17"
"ABCB7","9","24","54","23","10","5","11","6","15","5"
"ABCB8","5","13","3","10","4","4","7","3","7","2"
"ABCB9","0","2","0","0","0","1","1","1","0","3"
"ABCC1","11","27","39","41","12","28","36","25","30","24"
"ABCC10","3","2","3","14","5","2","4","1","4","7"
"ABCC12","0","0","0","0","1","0","0","0","0","0"
"ABCC13","2","5","1","0","0","0","0","0","0","0"
"ABCC3","122","216","167","243","186","84","118","108","157","202"
"ABCC4","0","0","1","7","9","21","7","7","16","7"
"ABCC5","80","122","205","93","141","41","33","33","52","35"
"ABCC6","23","17","4","12","12","5","6","6","5","3"
"ABCC6P1","3","11","11","6","5","0","0","1","0","1"
"ABCC6P2","6","6","20","6","7","0","0","0","4","0"
"ABCC8","0","0","0","0","0","0","0","0","10","0"
"ABCC9","72","208","195","50","138","111","71","65","46","43"
"ABCD1","7","10","28","0","4","7","12","7","0","1"
"ABCD3","43","43","63","153","86","25","40","21","59","91"
"ABCD4","21","16","37","54","30","16","19","6","11","13"
"ABCE1","31","14","16","58","34","44","37","46","50","64"
"ABCF1","143","161","138","135","130","179","128","73","112","113"
"ABCF2","23","12","7","22","8","12","11","13","36","33"
"ABCF3","28","14","16","35","36","30","20","15","28","48"
"ABCG1","20","40","81","12","6","14","10","9","3","0"
"ABCG2","2","1","1","0","0","6","0","0","0","0"
"ABCG5","0","0","0","3","1","1","2","13","0","0"
"ABCG8","0","0","4","1","0","0","1","0","0","0"
"ABHD10","24","7","18","25","17","20","20","9","30","11"
"ABHD11","160","194","118","19","30","112","126","113","31","36"
"ABHD11-AS1","10","13","7","0","0","2","12","7","0","5"
"ABHD12","29","64","40","50","61","74","76","52","43","30"
"ABHD13","13","27","18","21","19","24","29","22","7","21"
"ABHD14A","15","8","1","31","25","36","55","38","36","29"
"ABHD14B","5","25","8","63","53","51","43","44","75","64"
"ABHD15","4","12","18","5","2","8","19","11","14","10"
"ABHD16A","39","45","67","30","18","52","50","51","27","25"
"ABHD16B","1","6","10","3","3","4","3","7","7","0"
"ABHD17A","6","22","9","15","13","17","20","19","18","23"
"ABHD17B","74","85","84","11","12","14","28","17","6","14"
"ABHD17C","103","170","111","43","35","112","103","54","38","62"
"ABHD2","132","179","230","145","140","233","428","417","133","203"
"ABHD3","121","95","79","40","40","66","122","84","48","30"
"ABHD4","11","18","19","11","16","10","19","15","9","11"
"ABHD5","26","22","32","58","33","31","31","24","38","45"
"ABHD6","15","3","13","5","4","9","11","17","6","13"
"ABHD8","0","2","1","3","3","2","3","3","2","0"
"ABI1","61","69","119","41","34","77","80","99","18","38"
"ABI2","17","10","20","23","18","24","23","21","28","35"
"ABI3","0","0","0","0","0","4","17","9","37","0"
"ABI3BP","5","0","2","7","1","3","0","14","3","1"
"ABL1","25","20","30","28","46","10","25","35","19","27"
"ABL2","30","10","9","15","5","71","69","108","21","17"
"ABLIM1","113","281","195","264","153","105","91","74","192","206"
"ABLIM2","18","9","18","0","0","1","2","2","4","0"
"ABLIM3","0","3","4","0","0","3","1","8","0","0"
"ABO","21","99","55","161","32","5","6","20","3","3"
"ABR","29","70","53","127","46","28","36","34","26","20"
"ABRACL","231","151","142","70","72","57","66","39","92","32"
"ABT1","43","32","19","26","64","19","28","21","22","24"
"ABTB1","18","20","35","8","6","8","12","13","7","9"
"ABTB2","2","6","4","24","0","3","4","0","0","0"
"ACAA1","20","27","63","55","44","53","46","51","86","43"
"ACAA2","109","76","63","87","59","103","73","67","24","21"
"ACACA","8","18","20","18","19","7","17","18","13","29"
"ACACB","0","9","0","73","16","6","3","6","5","6"
"ACAD10","4","23","10","10","14","10","8","3","14","15"
"ACAD8","11","15","24","31","19","13","13","23","17","19"
"ACAD9","21","6","5","17","12","11","8","5","17","29"
"ACADL","0","0","0","2","9","0","2","0","3","5"
"ACADM","69","46","42","64","62","61","43","68","43","45"
"ACADS","7","31","10","37","52","21","16","9","36","23"
"ACADSB","4","4","4","13","31","11","11","14","22","11"
"ACADVL","84","276","217","332","313","168","201","157","302","256"
"ACAN","0","4","0","0","0","13","1","0","0","0"
"ACAP1","0","16","0","1","0","2","0","1","20","3"
"ACAP2","149","147","145","85","60","112","102","117","67","79"
"ACAP3","1","12","8","112","11","5","8","2","21","17"
"ACAT1","93","17","12","94","119","52","58","103","93","73"
"ACAT2","6","1","0","1","3","0","0","0","1","0"
"ACBD3","133","77","115","87","91","98","63","104","57","64"
"ACBD4","0","1","14","5","6","4","6","10","6","4"
"ACBD5","91","85","96","42","230","41","66","53","37","28"
"ACBD6","38","27","28","25","11","41","33","29","40","26"
"ACBD7","0","2","0","4","0","1","0","5","0","1"
"ACCS","1","2","5","6","18","5","9","17","21","7"
"ACD","6","2","3","6","11","12","9","19","18","10"
"ACE","6","6","6","14","8","12","15","19","4","1"
"ACE2","0","2","3","4","0","0","0","3","0","0"
"ACER2","10","14","4","2","0","0","1","1","6","5"
"ACER3","124","144","136","31","50","26","59","31","21","41"
"ACHE","100","84","88","0","0","14","109","35","0","10"
"ACIN1","61","105","155","62","107","54","50","68","62","45"
"ACKR1","0","0","0","0","0","6","28","0","0","0"
"ACKR2","0","1","0","1","1","0","0","0","0","0"
"ACKR3","28","0","0","0","0","0","0","1","1","1"
"ACKR4","0","19","0","31","25","3","1","2","12","21"
"ACLY","65","70","65","43","56","69","70","50","66","91"
"ACO1","35","24","28","92","60","28","22","15","63","36"
"ACO2","3","4","3","2","4","2","2","0","5","6"
"ACOT11","5","24","6","11","11","5","8","11","9","3"
"ACOT12","0","5","0","0","0","0","0","0","0","0"
"ACOT13","112","45","25","197","67","35","40","36","71","46"
"ACOT2","18","13","33","9","22","14","20","25","15","20"
"ACOT4","13","16","9","7","6","12","9","14","5","12"
"ACOT6","0","0","0","0","0","0","0","3","0","0"
"ACOT7","204","156","59","23","16","27","23","46","17","26"
"ACOT8","6","5","6","1","4","0","4","7","1","1"
"ACOT9","6","11","4","7","20","41","38","48","14","59"
"ACOX1","25","41","27","74","55","49","62","56","43","54"
"ACOX2","3","0","0","2","2","0","1","0","0","1"
"ACOX3","3","14","153","12","6","8","5","11","17","7"
"ACOXL","4","1","0","0","0","0","0","0","0","0"
"ACP1","220","168","171","131","99","264","182","201","139","173"
"ACP2","10","3","4","5","6","19","17","2","11","6"
"ACP5","29","22","2","17","4","77","13","60","14","3"
"ACP6","21","13","18","17","19","14","12","5","7","11"
"ACPP","3","2","0","11","3","3","3","0","1","2"
"ACPT","0","0","0","1","0","0","0","0","1","0"
"ACRBP","0","1","0","0","0","1","3","3","2","3"
"ACRC","0","0","0","0","1","1","0","0","0","1"
"ACRV1","0","0","1","0","0","0","0","0","0","0"
"ACSBG1","0","2","0","0","0","0","0","0","0","0"
"ACSF2","8","13","21","27","16","8","8","0","28","27"
"ACSF3","0","10","2","8","9","4","22","10","20","16"
"ACSL1","44","25","22","18","18","34","60","70","41","25"
"ACSL3","79","66","54","138","103","117","112","148","65","71"
"ACSL4","22","13","57","16","16","53","28","56","17","23"
"ACSL5","35","44","34","116","98","71","99","72","48","59"
"ACSL6","1","2","0","0","0","0","0","0","0","0"
"ACSM1","0","0","0","9","4","4","2","0","3","1"
"ACSM3","0","0","0","7","6","3","1","1","3","10"
"ACSM6","0","0","0","0","0","0","0","0","0","1"
"ACSS1","5","12","6","112","90","54","46","29","53","77"
"ACSS2","81","166","228","75","50","24","28","25","34","87"
"ACSS3","0","0","0","0","0","1","0","0","0","0"
"ACTA1","17","0","0","0","0","0","0","0","1","0"
"ACTA2","0","0","0","0","0","3","0","32","0","0"
"ACTA2-AS1","0","0","0","0","0","0","0","1","0","0"
"ACTB","1854","2121","1926","1081","1274","2832","2362","3037","1254","1500"
"ACTC1","379","0","0","0","0","0","0","10","0","0"
"ACTG1","1697","2510","1843","1951","2253","2698","2744","2817","2749","3549"
"ACTG1P20","5","6","8","5","5","6","4","0","8","11"
"ACTG2","0","0","0","0","0","71","36","392","18","3"
"ACTL10","0","0","2","2","3","2","4","2","1","2"
"ACTL6A","34","21","21","38","38","67","61","60","42","43"
"ACTL8","0","0","0","0","0","2","0","0","0","0"
"ACTN1","150","219","195","86","87","256","157","257","76","93"
"ACTN2","23","0","0","0","0","0","0","0","0","0"
"ACTN3","0","4","0","0","2","0","0","0","0","0"
"ACTN4","153","301","286","115","177","118","155","155","94","167"
"ACTR10","100","84","60","54","45","37","49","52","43","46"
"ACTR1A","51","45","54","30","29","52","49","74","59","44"
"ACTR1B","19","34","20","40","22","20","26","25","52","49"
"ACTR2","252","204","214","150","118","203","121","145","110","163"
"ACTR3","244","184","208","134","98","121","92","133","74","106"
"ACTR3B","0","1","3","6","4","1","4","0","5","7"
"ACTR3C","4","4","1","11","9","4","7","0","3","4"
"ACTR5","4","18","10","5","13","4","8","5","4","1"
"ACTR6","21","13","9","24","13","22","10","27","5","6"
"ACTR8","16","6","0","8","9","5","7","19","4","10"
"ACTRT3","1","1","0","1","5","1","4","3","0","2"
"ACVR1","21","13","20","19","21","81","16","26","5","18"
"ACVR1B","31","43","23","34","42","16","31","18","27","33"
"ACVR1C","6","6","6","15","1","2","2","3","1","0"
"ACVR2A","40","40","41","18","20","15","14","6","16","22"
"ACVR2B","7","7","5","8","4","2","2","0","6","8"
"ACVRL1","14","43","45","0","0","89","6","17","0","1"
"ACY3","6","20","4","16","18","14","37","17","27","11"
"ACYP1","42","21","12","41","24","18","19","32","14","8"
"ACYP2","23","18","29","33","15","23","35","41","20","14"
"ADA","3","2","0","6","26","27","18","5","34","19"
"ADAD2","0","0","0","0","0","0","0","2","11","0"
"ADAL","10","6","1","6","17","10","8","3","19","13"
"ADAM10","62","86","126","46","42","38","45","34","35","35"
"ADAM12","0","0","0","0","0","2","0","42","0","0"
"ADAM15","134","105","135","41","30","69","21","24","56","35"
"ADAM17","11","26","15","22","26","15","24","32","19","15"
"ADAM18","5","0","0","0","0","0","0","0","0","0"
"ADAM19","2","0","0","0","0","5","0","0","0","0"
"ADAM1A","0","1","0","0","4","0","0","0","2","0"
"ADAM2","0","0","0","1","0","0","0","0","0","0"
"ADAM22","0","2","0","0","0","2","1","3","0","0"
"ADAM23","7","0","0","1","0","0","0","0","0","1"
"ADAM28","108","158","104","261","355","71","44","49","105","120"
"ADAM32","0","0","0","0","0","0","1","1","0","0"
"ADAM33","0","0","0","0","0","1","0","2","0","0"
"ADAM3A","0","0","0","0","0","0","2","0","0","0"
"ADAM8","14","9","3","6","12","16","38","42","11","2"
"ADAM9","39","59","66","125","122","116","149","149","67","348"
"ADAMDEC1","0","0","0","0","0","14","23","18","0","1"
"ADAMTS1","0","0","0","0","0","163","46","464","17","5"
"ADAMTS13","26","17","0","15","13","3","0","0","3","0"
"ADAMTS14","0","0","2","0","0","4","0","15","0","0"
"ADAMTS15","11","6","21","2","3","0","1","0","2","1"
"ADAMTS16","0","0","0","0","8","0","0","0","0","0"
"ADAMTS17","14","0","2","5","0","4","16","0","1","0"
"ADAMTS2","0","0","0","0","0","8","0","15","0","0"
"ADAMTS20","1","0","2","0","0","0","0","0","0","0"
"ADAMTS4","1","0","0","0","0","40","45","225","1","0"
"ADAMTS5","0","0","0","0","0","2","0","30","0","3"
"ADAMTS6","2","2","3","2","0","13","1","6","0","0"
"ADAMTS7","0","1","1","0","1","1","1","3","0","0"
"ADAMTS8","0","0","0","0","0","11","2","63","0","0"
"ADAMTS9","0","2","1","0","0","7","8","65","0","2"
"ADAMTS9-AS1","0","1","0","0","0","1","1","0","0","0"
"ADAMTS9-AS2","0","3","0","0","0","0","1","0","0","0"
"ADAMTSL1","0","0","0","0","0","1","0","0","5","2"
"ADAMTSL2","0","0","1","0","1","1","1","6","0","0"
"ADAMTSL3","0","0","0","0","2","3","0","0","0","0"
"ADAMTSL4","9","2","1","1","1","3","3","2","0","0"
"ADAMTSL4-AS1","2","4","4","0","1","8","3","2","0","0"
"ADAMTSL5","1","4","8","0","0","0","3","0","0","0"
"ADAP1","56","85","113","27","24","41","48","46","8","14"
"ADAP2","6","9","8","0","0","30","32","32","3","1"
"ADAR","169","228","247","41","100","66","80","99","83","94"
"ADARB1","11","4","6","8","3","3","2","9","3","1"
"ADARB2","0","0","0","1","6","1","0","0","0","0"
"ADAT1","18","3","6","20","15","16","16","7","21","14"
"ADAT2","4","10","12","23","18","10","6","13","25","11"
"ADAT3","1","16","3","5","10","2","6","4","5","6"
"ADCK1","8","15","14","9","2","7","10","9","12","8"
"ADCK2","1","3","18","10","28","19","23","11","16","21"
"ADCK3","6","17","18","80","50","46","50","28","78","54"
"ADCK4","4","9","16","10","6","12","5","1","28","8"
"ADCK5","4","9","9","8","12","6","9","8","3","6"
"ADCY1","0","0","0","6","0","1","0","0","2","7"
"ADCY10","0","0","0","0","1","0","0","0","0","0"
"ADCY10P1","0","0","1","2","5","0","1","0","0","0"
"ADCY2","0","0","1","0","2","0","0","0","3","1"
"ADCY3","1","2","4","1","0","23","16","48","8","3"
"ADCY4","4","14","1","0","9","0","2","9","0","1"
"ADCY5","0","0","0","0","0","2","1","7","0","0"
"ADCY6","16","54","56","42","56","17","16","17","29","63"
"ADCY7","1","19","3","10","2","14","11","8","5","6"
"ADCY9","3","2","1","5","1","9","6","7","11","5"
"ADD1","46","33","36","73","54","58","64","64","59","78"
"ADD3","134","146","145","164","179","64","58","55","169","139"
"ADD3-AS1","0","0","0","0","0","0","0","0","0","1"
"ADGRA1","0","0","1","0","0","0","0","0","0","0"
"ADGRA2","0","0","0","0","0","2","0","0","0","0"
"ADGRA3","4","8","2","24","38","8","13","0","19","18"
"ADGRD1","0","1","1","0","0","1","1","0","0","0"
"ADGRE2","2","0","1","0","0","12","8","21","0","0"
"ADGRE4P","0","0","8","0","0","0","0","0","0","0"
"ADGRE5","83","163","189","34","23","83","62","62","52","35"
"ADGRF1","18","40","9","10","5","3","27","0","0","0"
"ADGRF3","0","0","0","0","2","0","1","0","0","0"
"ADGRF4","7","3","0","0","0","0","0","0","0","0"
"ADGRF5","1","1","0","0","2","22","0","48","0","1"
"ADGRG1","45","80","77","94","204","98","153","83","401","96"
"ADGRG2","9","12","10","10","9","0","4","1","9","21"
"ADGRG5","2","4","13","1","0","2","1","3","0","0"
"ADGRG6","20","23","36","84","70","8","12","21","11","10"
"ADGRG7","1","6","5","0","1","1","0","0","0","0"
"ADGRL1","4","14","24","4","11","15","10","10","13","13"
"ADGRL2","9","9","4","8","2","11","12","15","12","6"
"ADGRL3","3","0","0","0","0","3","0","0","0","0"
"ADGRL4","0","0","0","0","0","8","9","33","0","0"
"ADGRV1","36","22","24","1","0","1","1","0","1","3"
"ADH1A","0","0","0","6","3","0","0","0","0","1"
"ADH1B","0","0","0","0","0","15","0","0","25","5"
"ADH1C","4","38","13","1852","1651","44","89","26","373","498"
"ADH5","67","23","22","119","79","47","55","88","56","88"
"ADH6","0","0","0","0","3","0","0","1","0","0"
"ADH7","1","0","0","0","1","0","0","0","0","0"
"ADHFE1","3","0","21","15","13","3","3","0","16","18"
"ADI1","144","131","118","130","89","172","198","232","137","137"
"ADIPOR1","44","81","43","66","80","63","91","62","51","90"
"ADIPOR2","20","54","36","66","73","33","39","39","54","156"
"ADIRF","21","21","16","291","259","846","836","1520","445","346"
"ADK","13","17","32","32","22","84","35","38","57","46"
"ADM","89","85","39","21","15","36","66","50","12","6"
"ADM2","14","17","4","4","2","34","12","0","8","8"
"ADM5","1","0","0","1","0","1","2","5","0","0"
"ADNP","77","84","61","105","70","40","58","38","53","49"
"ADNP-AS1","0","2","0","1","1","6","1","0","0","1"
"ADNP2","35","26","21","23","31","37","17","21","37","18"
"ADO","7","8","14","9","8","9","10","4","13","17"
"ADORA2A-AS1","0","0","0","0","0","0","0","1","0","0"
"ADORA2B","3","1","15","5","0","3","3","2","0","0"
"ADORA3","0","0","0","2","0","0","1","3","0","0"
"ADPGK","37","25","19","29","25","42","43","42","31","41"
